"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2250","009835","한화솔루션우",56900,-2100,-3.56,NA,NA,NA,NA,250,0.44
"2251","272210","한화시스템",20950,-100,-0.48,706,29.67,8786,2.38,310,1.48
"2252","317320","한화에스비아이스팩",3155,10,0.32,NA,NA,NA,NA,0,0
"2253","012450","한화에어로스페이스",41550,-300,-0.72,2558,16.24,48217,0.86,0,0
"2254","000885","한화우",42200,-150,-0.35,NA,NA,NA,NA,750,1.78
"2255","003530","한화투자증권",2940,85,2.98,511,5.75,5265,0.56,0,0
"2256","003535","한화투자증권우",4735,85,1.83,NA,NA,NA,NA,0,0
"2257","340440","한화플러스제1호스팩",2060,5,0.24,NA,NA,NA,NA,0,0
"2258","220630","해마로푸드서비스",3285,55,1.7,148,22.2,861,3.82,50,1.52
"2259","195870","해성디에스",35600,-2050,-5.44,1078,33.02,12267,2.9,350,0.98
"2260","034810","해성산업",12050,50,0.42,238,50.63,14265,0.84,175,1.45
"2261","076610","해성옵틱스",1405,-10,-0.71,NA,NA,1957,0.72,0,0
"2262","101530","해태제과식품",8620,20,0.23,NA,NA,8359,1.03,150,1.74
"2263","220180","핸디소프트",3000,35,1.18,NA,NA,2868,1.05,0,0
"2264","143210","핸즈코퍼레이션",7230,-20,-0.28,320,22.59,14807,0.49,130,1.8
"2265","008800","행남사",1770,0,0,NA,NA,671,2.64,0,0
"2266","084990","헬릭스미스",26600,-500,-1.85,NA,NA,6867,3.87,0,0
"2267","000720","현대건설",41400,-600,-1.43,3656,11.32,59778,0.69,600,1.45
"2268","267270","현대건설기계",38650,1450,3.9,169,228.7,61453,0.63,0,0
"2269","000725","현대건설우",170000,-3500,-2.02,NA,NA,NA,NA,650,0.38
"2270","170030","현대공업",8870,60,0.68,272,32.61,6642,1.34,66,0.74
"2271","005440","현대그린푸드",8960,0,0,628,14.27,17576,0.51,210,2.34
"2272","086280","현대글로비스",212000,0,0,13395,15.83,124541,1.7,3500,1.65
"2273","064350","현대로템",19900,200,1.02,NA,NA,9695,2.05,0,0
"2274","079430","현대리바트",16300,-200,-1.21,968,16.84,22301,0.73,150,0.92
"2275","012330","현대모비스",323000,1500,0.47,24234,13.33,339207,0.95,4000,1.24
"2276","010620","현대미포조선",50400,-400,-0.79,1335,37.75,58022,0.87,350,0.69
"2277","048410","현대바이오",37100,1450,4.07,22,1686.36,1356,27.36,0,0
"2278","052260","현대바이오랜드",23400,-550,-2.3,723,32.37,10382,2.25,350,1.5
"2279","069960","현대백화점",80900,200,0.25,8639,9.36,181263,0.45,1000,1.24
"2280","004560","현대비앤지스틸",19900,1600,8.74,1433,13.89,26531,0.75,100,0.5
"2281","004565","현대비앤지스틸우",103500,1000,0.98,NA,NA,NA,NA,150,0.14
"2282","016790","현대사료",14100,600,4.44,528,26.7,9667,1.46,100,0.71
"2283","011760","현대상사",17450,350,2.05,1292,13.51,25722,0.68,600,3.44
"2284","004310","현대약품",7530,210,2.87,42,179.29,2737,2.75,45,0.6
"2285","322000","현대에너지솔루션",35000,-1200,-3.31,2788,12.55,28380,1.23,0,0
"2286","017800","현대엘리베이",45250,-650,-1.42,1190,38.03,22966,1.97,900,1.99
"2287","307950","현대오토에버",137000,2500,1.86,2673,51.25,24259,5.65,710,0.52
"2288","011210","현대위아",83300,-3700,-4.25,2078,40.09,113690,0.73,700,0.84
"2289","267260","현대일렉트릭",18700,300,1.63,NA,NA,19418,0.96,0,0
"2290","004020","현대제철",39950,0,0,130,307.31,126631,0.32,750,1.88
"2291","267250","현대중공업지주",260500,-1500,-0.57,11848,21.99,490707,0.53,18500,7.1
"2292","005380","현대차",241500,-500,-0.21,11310,21.35,253001,0.95,4000,1.66
"2293","005387","현대차2우B",108000,-2000,-1.82,NA,NA,NA,NA,4100,3.8
"2294","005389","현대차3우B",106000,-1000,-0.93,NA,NA,NA,NA,4050,3.82
"2295","005385","현대차우",111500,-2500,-2.19,NA,NA,NA,NA,4050,3.63
"2296","001500","현대차증권",12200,-150,-1.21,2315,5.27,25525,0.48,600,4.92
"2297","227840","현대코퍼레이션홀딩스",13100,600,4.8,1183,11.07,19704,0.66,500,3.82
"2298","039010","현대통신",9920,1250,14.42,1238,8.01,9454,1.05,300,3.02
"2299","126560","현대퓨처넷",3760,-40,-1.05,343,10.96,6569,0.57,60,1.6
"2300","001450","현대해상",21550,900,4.36,3161,6.82,50452,0.43,880,4.08
"2301","057050","현대홈쇼핑",78500,-500,-0.63,7354,10.67,144315,0.54,2000,2.55
"2302","092300","현우산업",4675,-95,-1.99,156,29.97,4933,0.95,100,2.14
"2303","053660","현진소재",400,0,0,NA,NA,NA,NA,0,0
"2304","011080","형지I&C",1540,-80,-4.94,NA,NA,581,2.65,0,0
"2305","093240","형지엘리트",3915,-95,-2.37,NA,NA,2007,1.95,0,0
"2306","003010","혜인",5860,200,3.53,412,14.22,8192,0.72,60,1.02
"2307","111110","호전실업",10350,150,1.47,346,29.91,14353,0.72,250,2.42
"2308","008770","호텔신라",83000,700,0.85,4483,18.51,22979,3.61,350,0.42
"2309","008775","호텔신라우",84300,300,0.36,NA,NA,NA,NA,400,0.47
"2310","060560","홈센타홀딩스",979,9,0.93,NA,NA,828,1.18,0,0
"2311","064240","홈캐스트",2635,5,0.19,NA,NA,2113,1.25,0,0
"2312","039610","화성밸브",5950,100,1.71,284,20.95,6985,0.85,0,0
"2313","002460","화성산업",11750,-50,-0.42,634,18.53,29797,0.39,500,4.26
"2314","013520","화승알앤에이",3430,420,13.95,376,9.12,4046,0.85,25,0.73
"2315","241590","화승엔터프라이즈",14250,-200,-1.38,1031,13.82,5759,2.47,45,0.32
"2316","006060","화승인더",7720,-100,-1.28,1092,7.07,5972,1.29,45,0.58
"2317","010690","화신",5100,-400,-7.27,202,25.25,8582,0.59,50,0.98
"2318","126640","화신정공",1750,-10,-0.57,99,17.68,2217,0.79,30,1.71
"2319","133820","화인베스틸",2515,55,2.24,NA,NA,3118,0.81,0,0
"2320","061250","화일약품",12100,-100,-0.82,235,51.49,6906,1.75,125,1.03
"2321","010660","화천기계",2415,-25,-1.02,NA,NA,5663,0.43,0,0
"2322","000850","화천기공",31600,0,0,3388,9.33,134845,0.23,1250,3.96
"2323","016580","환인제약",19950,-150,-0.75,1225,16.29,14719,1.36,300,1.5
"2324","032560","황금에스티",9510,240,2.59,1795,5.3,18579,0.51,100,1.05
"2325","004800","효성",86300,-2700,-3.03,5100,16.92,115817,0.75,5000,5.79
"2326","094280","효성ITX",21100,-650,-2.99,899,23.47,4162,5.07,500,2.37
"2327","097870","효성오앤비",8450,0,0,203,41.63,7102,1.19,100,1.18
"2328","298040","효성중공업",76100,-1700,-2.19,1411,53.93,97403,0.78,0,0
"2329","298050","효성첨단소재",286000,-14000,-4.67,NA,NA,72195,3.96,0,0
"2330","298020","효성티앤씨",414500,-10000,-2.36,21569,19.22,112984,3.67,2000,0.48
"2331","298000","효성화학",221000,-3500,-1.56,27637,8,142536,1.55,5000,2.26
"2332","093370","후성",10800,-300,-2.7,87,124.14,2295,4.71,15,0.14
"2333","050090","휘닉스소재",909,0,0,NA,NA,395,2.3,0,0
"2334","081660","휠라홀딩스",41850,-650,-1.53,4382,9.55,20448,2.05,219,0.52
"2335","290270","휴네시온",5990,-110,-1.8,187,32.03,2478,2.42,35,0.58
"2336","005870","휴니드",6750,-60,-0.88,589,11.46,8207,0.82,0,0
"2337","090710","휴림로봇",1280,-35,-2.66,NA,NA,346,3.7,0,0
"2338","205470","휴마시스",6070,-500,-7.61,NA,NA,541,11.22,0,0
"2339","115160","휴맥스",4880,-160,-3.17,850,5.74,16662,0.29,0,0
"2340","028080","휴맥스홀딩스",3855,75,1.98,534,7.22,12176,0.32,0,0
"2341","032860","휴먼엔",11300,-700,-5.83,NA,NA,2840,3.98,0,0
"2342","200670","휴메딕스",27500,1450,5.57,1094,25.14,11243,2.45,500,1.82
